scope,year,n_winter,n_summer,winter_bps,summer_bps,spread_bps
FX,2018,122,129,2.449867191270037,1.3675077738976957,1.0823594173723412
FX,2019,123,129,0.008004939363529627,1.792444270572935,-1.7844393312094053
FX,2020,125,128,0.5954889655644147,-1.1941100934182185,1.7895990589826332
FX,2021,125,127,-1.6196628945650149,-0.6320571505207673,-0.9876057440442475
FX,2022,124,127,0.5457220752149778,-1.8798989082369737,2.4256209834519513
FX,2023,122,128,-0.26966484665099344,-1.0633425526260925,0.793677705975099
FX,2024,124,128,-1.144086435500188,1.8286072437216334,-2.9726936792218215
FX,2025,122,128,0.14189445227503833,-1.7910327440820049,1.9329271963570431
FX,2026,82,30,0.8241535266480419,-0.3495827919576996,1.1737363186057412
RealEstate,2007,49,129,-29.54728889419756,-2.120680295134677,-27.42660859906288
RealEstate,2008,124,129,4.959129222410418,-36.31625462879523,41.275383851205646
RealEstate,2009,124,128,6.844764663027752,26.06282651428544,-19.218061851257687
RealEstate,2010,125,127,10.354233352865045,9.912618994475318,0.4416143583897258
RealEstate,2011,124,128,5.442793669787732,-5.331526773105885,10.774320442893618
RealEstate,2012,123,127,15.962438115873063,4.724268995144192,11.23816912072887
RealEstate,2013,123,129,7.495121085409897,-3.71340995081249,11.208531036222386
RealEstate,2014,123,129,7.255703904481392,5.48796120934886,1.7677426951325306
RealEstate,2015,124,128,1.0514914998645621,-0.30597611278163334,1.3574676126461955
RealEstate,2016,124,128,6.110884861000565,-1.4293632920622628,7.540248153062827
RealEstate,2017,122,129,6.464567311797727,1.6370551895469811,4.827512122250745
RealEstate,2018,122,129,-3.8415617524473564,-1.3435030829740455,-2.4980586694733105
RealEstate,2019,123,129,10.507071079639205,7.285413398099143,3.2216576815400613
RealEstate,2020,125,128,-3.7772937341346102,3.5631888682997404,-7.34048260243435
RealEstate,2021,125,127,11.952386135601563,5.860218411056086,6.092167724545476
RealEstate,2022,124,127,-3.281074064243207,-16.40538454909414,13.124310484850932
RealEstate,2023,122,128,18.550513554120688,-9.693255438339701,28.24376899246039
RealEstate,2024,124,128,-11.953284132118739,9.249714228819366,-21.202998360938103
RealEstate,2025,122,128,7.203800620195967,4.371471542648762,2.8323290775472048
RealEstate,2026,82,30,7.269713994064616,0.6979910247248792,6.571722969339737
