date,vol_pctile_SPY,vol_pctile_EEM,vol_pctile_EWJ,vol_pctile_XLE,vol_pctile_XLU,vol_pctile_TLT,vol_pctile_SHY,vol_pctile_LQD,vol_pctile_HYG,vol_pctile_USO,vol_pctile_UNG,vol_pctile_GLD,vol_pctile_DBA,vol_pctile_UUP,vol_pctile_FXY,vol_pctile_VNQ,vol_pctile_RWX,er_SPY,er_EEM,er_EWJ,er_XLE,er_XLU,er_TLT,er_SHY,er_LQD,er_HYG,er_USO,er_UNG,er_GLD,er_DBA,er_UUP,er_FXY,er_VNQ,er_RWX,port_vol,port_vol_pctile,cross_asset_dispersion
1996-09-16,1.0,,,,,,,,,,,,,,,,,0.076086,,0.163636,,,,,,,,,,,,,,,0.123678,0.915344,0.041859
1996-09-17,0.997354,,,,,,,,,,,,,,,,,0.090227,,0.163636,,,,,,,,,,,,,,,0.122954,0.911376,0.019173
1996-09-18,0.997354,,,,,,,,,,,,,,,,,0.074706,,0.189188,,,,,,,,,,,,,,,0.122691,0.90873,0.028901
1996-09-19,0.997354,,,,,,,,,,,,,,,,,0.084702,,0.178572,,,,,,,,,,,,,,,0.123363,0.914021,0.020335
1996-09-20,0.993386,,,,,,,,,,,,,,,,,0.074513,,0.214285,,,,,,,,,,,,,,,0.123422,0.914021,0.040278
1996-09-23,0.992063,,,,,,,,,,,,,,,,,0.069967,,0.2,,,,,,,,,,,,,,,0.123433,0.914021,0.042078
1996-09-24,0.990741,,,,,,,,,,,,,,,,,0.072263,,0.160715,,,,,,,,,,,,,,,0.124142,0.917989,0.034077
1996-09-25,0.986772,,,,,,,,,,,,,,,,,0.090716,,0.160714,,,,,,,,,,,,,,,0.124155,0.917989,0.029323
1996-09-26,0.982804,,,,,,,,,,,,,,,,,0.074421,,0.160714,,,,,,,,,,,,,,,0.123193,0.906085,0.020252
1996-09-27,0.981481,,,,,,,,,,,,,,,,,0.068768,,0.140351,,,,,,,,,,,,,,,0.123595,0.911376,0.013039
1996-09-30,0.880952,,,,,,,,,,,,,,,,,0.046809,,0.140352,,,,,,,,,,,,,,,0.114396,0.77381,0.016493
1996-10-01,0.87963,,,,,,,,,,,,,,,,,0.069228,,0.117117,,,,,,,,,,,,,,,0.113752,0.763228,0.018885
1996-10-02,0.882275,,,,,,,,,,,,,,,,,0.090238,,0.132744,,,,,,,,,,,,,,,0.113504,0.760582,0.015679
1996-10-03,0.87963,,,,,,,,,,,,,,,,,0.158686,,0.100917,,,,,,,,,,,,,,,0.113651,0.760582,0.023841
1996-10-04,0.853175,,,,,,,,,,,,,,,,,0.199371,,0.092592,,,,,,,,,,,,,,,0.108677,0.665344,0.049534
1996-10-07,0.851852,,,,,,,,,,,,,,,,,0.193795,,0.111111,,,,,,,,,,,,,,,0.108691,0.665344,0.042713
1996-10-08,0.798942,,,,,,,,,,,,,,,,,0.173273,,0.135135,,,,,,,,,,,,,,,0.103577,0.595238,0.04318
1996-10-09,0.812169,,,,,,,,,,,,,,,,,0.208261,,0.119266,,,,,,,,,,,,,,,0.104322,0.604497,0.043836
1996-10-10,0.797619,,,,,,,,,,,,,,,,,0.200327,,0.109091,,,,,,,,,,,,,,,0.103308,0.59127,0.028975
1996-10-11,0.793651,,,,,,,,,,,,,,,,,0.318749,,0.082569,,,,,,,,,,,,,,,0.100034,0.555556,0.029823
1996-10-14,0.781746,,,,,,,,,,,,,,,,,0.317066,,0.092593,,,,,,,,,,,,,,,0.097823,0.515873,0.025814
1996-10-15,0.75,,,,,,,,,,,,,,,,,0.291026,,0.063063,,,,,,,,,,,,,,,0.096631,0.493386,0.016097
1996-10-16,0.675926,,,,,,,,,,,,,,,,,0.275325,,0.11111,,,,,,,,,,,,,,,0.096439,0.486772,0.033332
1996-10-17,0.675926,,,,,,,,,,,,,,,,,0.306407,,0.075471,,,,,,,,,,,,,,,0.091842,0.404762,0.028126
1996-10-18,0.665344,,,,,,,,,,,,,,,,,0.343531,,0.028571,,,,,,,,,,,,,,,0.09038,0.374339,0.029161
1996-10-21,0.664021,,,,,,,,,,,,,,,,,0.385825,,0.125,,,,,,,,,,,,,,,0.099017,0.551587,0.046746
1996-10-22,0.626984,,,,,,,,,,,,,,,,,0.35249,,0.056605,,,,,,,,,,,,,,,0.09677,0.494709,0.0328
1996-10-23,0.60582,,,,,,,,,,,,,,,,,0.343234,,0.104762,,,,,,,,,,,,,,,0.09543,0.468254,0.05027
1996-10-24,0.630952,,,,,,,,,,,,,,,,,0.297916,,0.104762,,,,,,,,,,,,,,,0.093376,0.428571,0.040385
1996-10-25,0.550265,,,,,,,,,,,,,,,,,0.34044,,0.113207,,,,,,,,,,,,,,,0.092811,0.412698,0.050347
1996-10-28,0.469577,,,,,,,,,,,,,,,,,0.294216,,0.142856,,,,,,,,,,,,,,,0.090795,0.373016,0.053498
1996-10-29,0.469577,,,,,,,,,,,,,,,,,0.297255,,0.184466,,,,,,,,,,,,,,,0.090872,0.374339,0.060125
1996-10-30,0.47619,,,,,,,,,,,,,,,,,0.2486,,0.192307,,,,,,,,,,,,,,,0.090188,0.358466,0.056763
1996-10-31,0.505291,,,,,,,,,,,,,,,,,0.22232,,0.199999,,,,,,,,,,,,,,,0.090151,0.357143,0.056121
1996-11-01,0.505291,,,,,,,,,,,,,,,,,0.230522,,0.18868,,,,,,,,,,,,,,,0.090111,0.354497,0.045339
1996-11-04,0.505291,,,,,,,,,,,,,,,,,0.24033,,0.156863,,,,,,,,,,,,,,,0.089981,0.346561,0.037573
1996-11-05,0.502646,,,,,,,,,,,,,,,,,0.24878,,0.156862,,,,,,,,,,,,,,,0.089304,0.329365,0.044038
1996-11-06,0.546296,,,,,,,,,,,,,,,,,0.300914,,0.09434,,,,,,,,,,,,,,,0.098868,0.544974,0.033454
1996-11-07,0.543651,,,,,,,,,,,,,,,,,0.318936,,0.085715,,,,,,,,,,,,,,,0.098626,0.53836,0.037884
1996-11-08,0.544974,,,,,,,,,,,,,,,,,0.316625,,0.065421,,,,,,,,,,,,,,,0.10028,0.559524,0.040406
1996-11-11,0.533069,,,,,,,,,,,,,,,,,0.343771,,0.075472,,,,,,,,,,,,,,,0.1003,0.559524,0.033559
1996-11-12,0.541005,,,,,,,,,,,,,,,,,0.323297,,0.085715,,,,,,,,,,,,,,,0.100062,0.55291,0.030379
1996-11-13,0.541005,,,,,,,,,,,,,,,,,0.340839,,0.102805,,,,,,,,,,,,,,,0.099661,0.550265,0.052737
1996-11-14,0.53836,,,,,,,,,,,,,,,,,0.33858,,0.075472,,,,,,,,,,,,,,,0.099834,0.550265,0.048011
1996-11-15,0.525132,,,,,,,,,,,,,,,,,0.340463,,0.085715,,,,,,,,,,,,,,,0.099106,0.544974,0.046924
1996-11-18,0.506614,,,,,,,,,,,,,,,,,0.343773,,0.09434,,,,,,,,,,,,,,,0.099547,0.547619,0.058042
1996-11-19,0.505291,,,,,,,,,,,,,,,,,0.37347,,0.126214,,,,,,,,,,,,,,,0.098634,0.529101,0.037445
1996-11-20,0.503968,,,,,,,,,,,,,,,,,0.359189,,0.115385,,,,,,,,,,,,,,,0.098885,0.537037,0.040831
1996-11-21,0.502646,,,,,,,,,,,,,,,,,0.374841,,0.106797,,,,,,,,,,,,,,,0.098635,0.527778,0.031008
1996-11-22,0.481481,,,,,,,,,,,,,,,,,0.41201,,0.057692,,,,,,,,,,,,,,,0.098354,0.511905,0.040237
1996-11-25,0.443122,,,,,,,,,,,,,,,,,0.430416,,0.039215,,,,,,,,,,,,,,,0.095222,0.444444,0.039598
1996-11-26,0.452381,,,,,,,,,,,,,,,,,0.421499,,0.039217,,,,,,,,,,,,,,,0.09533,0.449735,0.042121
1996-11-27,0.462963,,,,,,,,,,,,,,,,,0.454401,,0.029704,,,,,,,,,,,,,,,0.095491,0.452381,0.034486
1996-11-29,0.367725,,,,,,,,,,,,,,,,,0.507244,,0.029703,,,,,,,,,,,,,,,0.095698,0.455026,0.046146
1996-12-02,0.324074,,,,,,,,,,,,,,,,,0.498274,,0.048543,,,,,,,,,,,,,,,0.098073,0.501323,0.051933
1996-12-03,0.428571,,,,,,,,,,,,,,,,,0.410823,,0.069306,,,,,,,,,,,,,,,0.099417,0.546296,0.047973
1996-12-04,0.424603,,,,,,,,,,,,,,,,,0.46714,,0.069307,,,,,,,,,,,,,,,0.099563,0.547619,0.041884
